title,pubDate,guid,link,description
Ukraine conflict: Your guide to understanding day 11,"Sun, 06 Mar 2022 21:30:47 GMT",https://www.bbc.co.uk/news/world-europe-60640063,https://www.bbc.co.uk/news/world-europe-60640063?at_medium=RSS&at_campaign=KARANGA,More than 1.5 million Ukrainians have fled the country. Here's what you need to know after day 11 of the war.
Russian gymnast investigated for wearing pro-war symbol on podium next to Ukrainian,"Sun, 06 Mar 2022 20:10:43 GMT",https://www.bbc.co.uk/sport/gymnastics/60641891,https://www.bbc.co.uk/sport/gymnastics/60641891?at_medium=RSS&at_campaign=KARANGA,Russian gymnast Ivan Kuliak is being investigated after wearing a national war symbol on his leotard as he stood next to a Ukrainian rival on the podium in Qatar on Saturday.
"Ukraine: With placards and tears, Poles are greeting refugees like family","Sun, 06 Mar 2022 23:56:07 GMT",https://www.bbc.co.uk/news/world-europe-60641217,https://www.bbc.co.uk/news/world-europe-60641217?at_medium=RSS&at_campaign=KARANGA,"A Polish couple, messaged from Taiwan, have come to meet a Ukrainian refugee - welcome to Przemysl."
Twitter is part of our war effort - Ukraine minister,"Mon, 07 Mar 2022 00:02:15 GMT",https://www.bbc.co.uk/news/technology-60608222,https://www.bbc.co.uk/news/technology-60608222?at_medium=RSS&at_campaign=KARANGA,"Ukraine's youngest cabinet minister, 31-year-old Mykhailo Fedorov, is leading a cyber-battle against Russia."
Ukraine invasion: Volunteers 'working on autopilot',"Mon, 07 Mar 2022 00:01:07 GMT",https://www.bbc.co.uk/news/world-europe-60641870,https://www.bbc.co.uk/news/world-europe-60641870?at_medium=RSS&at_campaign=KARANGA,"Within hours of Russia’s invasion, all over Ukraine, volunteers offered their services."
Ukraine crisis: The West fights back against Putin the disruptor,"Sun, 06 Mar 2022 07:25:00 GMT",https://www.bbc.co.uk/news/world-us-canada-60597186,https://www.bbc.co.uk/news/world-us-canada-60597186?at_medium=RSS&at_campaign=KARANGA,Several US presidents have failed to get the measure of him but now Europe has joined the fray things may change.
"Mariupol: Fires, no water, and bodies in the street","Sun, 06 Mar 2022 09:26:59 GMT",https://www.bbc.co.uk/news/world-europe-60637338,https://www.bbc.co.uk/news/world-europe-60637338?at_medium=RSS&at_campaign=KARANGA,"Maxim, a 27-year-old city resident, tells the BBC what happened after the first ceasefire collapsed."
The young Ukrainians battling pro-Russian trolls,"Sun, 06 Mar 2022 00:19:21 GMT",https://www.bbc.co.uk/news/blogs-trending-60596133,https://www.bbc.co.uk/news/blogs-trending-60596133?at_medium=RSS&at_campaign=KARANGA,Conspiracy theories and trolls are adding to the chaos of war.
Ukraine maps: New agreed ceasefire breaks down in south,"Sun, 06 Mar 2022 14:10:23 GMT",https://www.bbc.co.uk/news/world-europe-60506682,https://www.bbc.co.uk/news/world-europe-60506682?at_medium=RSS&at_campaign=KARANGA,"A ceasefire agreement in the southern city of Mariupol, breaks down a second time, with both sides blaming each other."
Five ways the Ukraine war could push up prices,"Fri, 04 Mar 2022 22:09:49 GMT",https://www.bbc.co.uk/news/business-60509453,https://www.bbc.co.uk/news/business-60509453?at_medium=RSS&at_campaign=KARANGA,Prices for everyday items could go up at a time when the cost of living is already rising.
Ukraine: 'We try to tell them the truth' - parenting in wartime,"Sun, 06 Mar 2022 00:17:05 GMT",https://www.bbc.co.uk/news/world-europe-60632147,https://www.bbc.co.uk/news/world-europe-60632147?at_medium=RSS&at_campaign=KARANGA,"In Ukraine, families are having to adapt to being at war. But what do you tell the children?"
War in Ukraine: Russian helicopter shot down by missile,"Sat, 05 Mar 2022 12:26:02 GMT",https://www.bbc.co.uk/news/world-europe-60630352,https://www.bbc.co.uk/news/world-europe-60630352?at_medium=RSS&at_campaign=KARANGA,"The video, shared by Ukrainian armed forces, shows the helicopter being hit by a missile."
European peace seems as fragile as ever,"Sat, 05 Mar 2022 00:36:11 GMT",https://www.bbc.co.uk/news/world-60622772,https://www.bbc.co.uk/news/world-60622772?at_medium=RSS&at_campaign=KARANGA,"The shifting of European history's tectonic plates is not really that unexpected, explains Kevin Connolly."
"War in Ukraine: Russians on boycotts, sanctions and cancellations","Fri, 04 Mar 2022 18:17:55 GMT",https://www.bbc.co.uk/news/world-europe-60585720,https://www.bbc.co.uk/news/world-europe-60585720?at_medium=RSS&at_campaign=KARANGA,Russia is being hit by a global backlash after it invaded Ukraine. How does it feel to be shunned?
"Ukraine war: 'My city's being shelled, but mum won’t believe me'","Fri, 04 Mar 2022 18:32:49 GMT",https://www.bbc.co.uk/news/world-europe-60600487,https://www.bbc.co.uk/news/world-europe-60600487?at_medium=RSS&at_campaign=KARANGA,These Ukrainians say their Russian relatives only trust the narratives they see on TV at home.
Nuclear plant: How close was nuclear plant attack to catastrophe?,"Fri, 04 Mar 2022 19:32:49 GMT",https://www.bbc.co.uk/news/world-60609633,https://www.bbc.co.uk/news/world-60609633?at_medium=RSS&at_campaign=KARANGA,"After Russia seizes two nuclear plant sites, experts weigh the risk to Ukraine and the world at large."
Ukraine war: Why Kherson and Mariupol are key to Russian success,"Fri, 04 Mar 2022 12:54:25 GMT",https://www.bbc.co.uk/news/world-europe-60604876,https://www.bbc.co.uk/news/world-europe-60604876?at_medium=RSS&at_campaign=KARANGA,There are both strategic and historical reasons why the offensive in southern Ukraine is vital for Russia.
The Papers: 'Running for their lives' as terror 'rains down',"Mon, 07 Mar 2022 05:22:30 GMT",https://www.bbc.co.uk/news/blogs-the-papers-60642348,https://www.bbc.co.uk/news/blogs-the-papers-60642348?at_medium=RSS&at_campaign=KARANGA,Civilian attempts to flee Ukrainian cities being targeted by Russian forces lead Monday's papers.
Ukraine invasion: Military couple marry on the frontline,"Sun, 06 Mar 2022 19:00:39 GMT",https://www.bbc.co.uk/news/world-europe-60641868,https://www.bbc.co.uk/news/world-europe-60641868?at_medium=RSS&at_campaign=KARANGA,"Lesya and Valeri, both civil defence volunteers, tied the knot at a checkpoint near Kyiv."
Ukraine invasion: The children with cancer fleeing war at home,"Mon, 07 Mar 2022 00:02:05 GMT",https://www.bbc.co.uk/news/world-europe-60621253,https://www.bbc.co.uk/news/world-europe-60621253?at_medium=RSS&at_campaign=KARANGA,The NGO Herosi are trying to find places for the patients in medical care across Europe.
'They thought he was too young for heart disease',"Sun, 06 Mar 2022 09:14:03 GMT",https://www.bbc.co.uk/news/uk-england-cambridgeshire-60610329,https://www.bbc.co.uk/news/uk-england-cambridgeshire-60610329?at_medium=RSS&at_campaign=KARANGA,A mother whose son died from heart disease urges parents to know the signs and trust their instincts.
Zeebrugge: 'You had to cling on for your dear life',"Sun, 06 Mar 2022 00:19:31 GMT",https://www.bbc.co.uk/news/60608322,https://www.bbc.co.uk/news/60608322?at_medium=RSS&at_campaign=KARANGA,Lynette Lee survived the Zeebrugge ferry disaster 35 years ago - one that killed 193 people.
Belfast: The sounds of the city during Covid lockdowns,"Sun, 06 Mar 2022 00:27:54 GMT",https://www.bbc.co.uk/news/uk-northern-ireland-60601083,https://www.bbc.co.uk/news/uk-northern-ireland-60601083?at_medium=RSS&at_campaign=KARANGA,A student at Queen's University Belfast used his daily walks to record the sounds of Covid lockdowns.
Mandibuloacral dysplasia: 'You feel guilty not wanting her to get older',"Sun, 06 Mar 2022 00:23:18 GMT",https://www.bbc.co.uk/news/uk-england-leicestershire-60587020,https://www.bbc.co.uk/news/uk-england-leicestershire-60587020?at_medium=RSS&at_campaign=KARANGA,The parents of five-year-old Isla say she is the only child in the world with a rare condition.
Man in dinghy in near miss with Southampton-bound container ship,"Sun, 06 Mar 2022 17:11:51 GMT",https://www.bbc.co.uk/news/uk-england-hampshire-60639923,https://www.bbc.co.uk/news/uk-england-hampshire-60639923?at_medium=RSS&at_campaign=KARANGA,The moment a man swims out of the path of a container ship off Southampton is captured on a phone.
Why doesn't Ukraine attack the Russian convoy? And other questions,"Fri, 04 Mar 2022 18:04:14 GMT",https://www.bbc.co.uk/news/world-60617145,https://www.bbc.co.uk/news/world-60617145?at_medium=RSS&at_campaign=KARANGA,Correspondents and experts answer questions from readers on the BBC News website
The sophisticated tech predicting if an advert will work,"Mon, 07 Mar 2022 00:20:23 GMT",https://www.bbc.co.uk/news/business-60584596,https://www.bbc.co.uk/news/business-60584596?at_medium=RSS&at_campaign=KARANGA,"Ad-testing firms are using real-time software, webcams to find out if ads resonate with customers."
Roman fort survey near Melrose aims to unveil more secrets,"Sun, 06 Mar 2022 07:45:15 GMT",https://www.bbc.co.uk/news/uk-scotland-south-scotland-60602352,https://www.bbc.co.uk/news/uk-scotland-south-scotland-60602352?at_medium=RSS&at_campaign=KARANGA,Ground penetrating radar will give a clearer picture of the story of Trimontium in the Borders.
Russia oligarchs: The mega-rich men facing global sanctions,"Sat, 05 Mar 2022 00:34:34 GMT",https://www.bbc.co.uk/news/uk-60593022,https://www.bbc.co.uk/news/uk-60593022?at_medium=RSS&at_campaign=KARANGA,President Putin has for years warned Russia's richest to protect themselves against sanctions.
"From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower","Sat, 05 Mar 2022 16:37:11 GMT",https://www.bbc.co.uk/news/world-europe-60631433,https://www.bbc.co.uk/news/world-europe-60631433?at_medium=RSS&at_campaign=KARANGA,"Russia answers resistance with big guns and sieges. Ukrainians pray that will not happen to them, writes the BBC's Jeremy Bowen in Kyiv."
Jane Campion: Power of the Dog director thrilled with her Hollywood comeback,"Sun, 06 Mar 2022 00:13:54 GMT",https://www.bbc.co.uk/news/entertainment-arts-60562041,https://www.bbc.co.uk/news/entertainment-arts-60562041?at_medium=RSS&at_campaign=KARANGA,The award-winning director is championing women in Hollywood after a break away from the big screen.
BBC Ukrainian editor: 'My mother called to say she'd managed to buy bread',"Sun, 06 Mar 2022 01:02:02 GMT",https://www.bbc.co.uk/news/world-europe-60633888,https://www.bbc.co.uk/news/world-europe-60633888?at_medium=RSS&at_campaign=KARANGA,"In the second week of war, the BBC's Ukrainian editor says empty shelves are an increasing reality."
War in Ukraine: Russian invasion fuels Finnish support for Nato,"Sun, 06 Mar 2022 02:10:21 GMT",https://www.bbc.co.uk/news/world-europe-60626536,https://www.bbc.co.uk/news/world-europe-60626536?at_medium=RSS&at_campaign=KARANGA,President Putin's devastating attack on Ukraine leaves countries in the region worried about their future.
Identity: What does it mean to be Welsh?,"Sun, 06 Mar 2022 08:10:02 GMT",https://www.bbc.co.uk/news/uk-wales-60590685,https://www.bbc.co.uk/news/uk-wales-60590685?at_medium=RSS&at_campaign=KARANGA,"Two writers on being Welsh when your appearance does not ""match an accepted aesthetic of Welshness""."
Why Indian fathers are embracing paternity leave,"Sun, 06 Mar 2022 00:37:57 GMT",https://www.bbc.co.uk/news/world-asia-india-60491095,https://www.bbc.co.uk/news/world-asia-india-60491095?at_medium=RSS&at_campaign=KARANGA,The pandemic and changing family structures have highlighted how young parents are struggling with childcare.
'Either they're not good enough or they don't care' - pundits react to Man Utd's derby display,"Sun, 06 Mar 2022 20:22:45 GMT",https://www.bbc.co.uk/sport/football/60641764,https://www.bbc.co.uk/sport/football/60641764?at_medium=RSS&at_campaign=KARANGA,Manchester United legends savage the club's performance in their 4-1 derby defeat by Manchester City.
England bowler Robinson ruled out of first Test with back injury,"Sun, 06 Mar 2022 18:54:31 GMT",https://www.bbc.co.uk/sport/cricket/60617043,https://www.bbc.co.uk/sport/cricket/60617043?at_medium=RSS&at_campaign=KARANGA,England seam bowler Ollie Robinson has been ruled out of the first Test against West Indies with a back injury.
Who's got his club buzzing again? - Garth's Team of the Week,"Sun, 06 Mar 2022 22:36:21 GMT",https://www.bbc.co.uk/sport/football/60641470,https://www.bbc.co.uk/sport/football/60641470?at_medium=RSS&at_campaign=KARANGA,Who is a candidate for manager of the season? Who could play until he's 40? And who is back to their best? Find out in Garth Crooks' latest Team of the Week.
Welsh Open: Joe Perry beats Judd Trump to win title,"Sun, 06 Mar 2022 21:55:52 GMT",https://www.bbc.co.uk/sport/snooker/60632805,https://www.bbc.co.uk/sport/snooker/60632805?at_medium=RSS&at_campaign=KARANGA,Joe Perry beats Judd Trump 9-5 to win the Welsh Open title for the first time at Celtic Manor Resort in Newport.
GB ski pairings win two more Paralympic bronzes,"Mon, 07 Mar 2022 08:34:59 GMT",https://www.bbc.co.uk/sport/winter-sports/60643560,https://www.bbc.co.uk/sport/winter-sports/60643560?at_medium=RSS&at_campaign=KARANGA,Britain's Menna Fitzpatrick and Neil Simpson both win their second medals of the Beijing Winter Paralympics with super combined bronze.
'Man City prove a point to anyone who doubted them' - MOTD2 analysis,"Sun, 06 Mar 2022 22:30:32 GMT",https://www.bbc.co.uk/sport/football/60639745,https://www.bbc.co.uk/sport/football/60639745?at_medium=RSS&at_campaign=KARANGA,MOTD2 pundit Danny Murphy feels Manchester City played like they had a point to prove against Manchester United and their second-half performance was an emphatic statement to anyone who doubted them.
Covid-19 in the UK: How many coronavirus cases are there in my area?,"Fri, 04 Mar 2022 17:34:34 GMT",https://www.bbc.co.uk/news/uk-51768274,https://www.bbc.co.uk/news/uk-51768274?at_medium=RSS&at_campaign=KARANGA,Explore the data on coronavirus in the UK and find out how many cases there are in your area.
What are the UK's 'Living with Covid' plans?,"Fri, 04 Mar 2022 15:48:28 GMT",https://www.bbc.co.uk/news/explainers-52530518,https://www.bbc.co.uk/news/explainers-52530518?at_medium=RSS&at_campaign=KARANGA,"All legal Covid restrictions in England have ended, with Wales and Scotland also removing rules."
Covid: Five things we still need to keep an eye on,"Sat, 26 Feb 2022 00:50:33 GMT",https://www.bbc.co.uk/news/health-60494159,https://www.bbc.co.uk/news/health-60494159?at_medium=RSS&at_campaign=KARANGA,"The UK is moving to its ""living with Covid"" phase, but the virus still needs to be watched closely."
Covid boosters: Who will get a fourth dose?,"Wed, 02 Mar 2022 12:11:20 GMT",https://www.bbc.co.uk/news/health-55045639,https://www.bbc.co.uk/news/health-55045639?at_medium=RSS&at_campaign=KARANGA,"Care workers in England won't need to be vaccinated, and some people will get a fourth Covid jab."
What are the latest rules for face coverings and masks?,"Tue, 01 Mar 2022 09:53:08 GMT",https://www.bbc.co.uk/news/health-51205344,https://www.bbc.co.uk/news/health-51205344?at_medium=RSS&at_campaign=KARANGA,Rules around face coverings are easing across the UK but they are still required in some settings.
Covid: How to look after yourself at home,"Tue, 18 Jan 2022 12:46:56 GMT",https://www.bbc.co.uk/news/health-59683083,https://www.bbc.co.uk/news/health-59683083?at_medium=RSS&at_campaign=KARANGA,"What can you expect if you have Covid, and when should you get extra help?"
"Covid map: Coronavirus cases, deaths, vaccinations by country","Mon, 28 Feb 2022 12:08:00 GMT",https://www.bbc.co.uk/news/world-51235105,https://www.bbc.co.uk/news/world-51235105?at_medium=RSS&at_campaign=KARANGA,Key maps and charts explaining how the virus has spread around the world.
What are the self-isolation rules in England and the rest of the UK?,"Thu, 24 Feb 2022 11:05:57 GMT",https://www.bbc.co.uk/news/explainers-54239922,https://www.bbc.co.uk/news/explainers-54239922?at_medium=RSS&at_campaign=KARANGA,"People with Covid in England are no longer legally required to self-isolate, although it is still recommended."
When will free Covid tests end in England?,"Thu, 24 Feb 2022 13:06:04 GMT",https://www.bbc.co.uk/news/health-51943612,https://www.bbc.co.uk/news/health-51943612?at_medium=RSS&at_campaign=KARANGA,The government is scrapping free Covid tests for most people in England.
What Covid tests do I still need to travel abroad?,"Fri, 11 Feb 2022 09:47:28 GMT",https://www.bbc.co.uk/news/explainers-52544307,https://www.bbc.co.uk/news/explainers-52544307?at_medium=RSS&at_campaign=KARANGA,"From Friday, fully vaccinated people travelling to the UK no longer have to take any Covid tests."
How will the vulnerable be protected from Covid? And other questions,"Tue, 22 Feb 2022 15:25:22 GMT",https://www.bbc.co.uk/news/world-asia-china-51176409,https://www.bbc.co.uk/news/world-asia-china-51176409?at_medium=RSS&at_campaign=KARANGA,The government has announced the end of all Covid restrictions in England.
Ukraine conflict: Oil price soars to highest level since 2008,"Mon, 07 Mar 2022 09:00:31 GMT",https://www.bbc.co.uk/news/business-60642786,https://www.bbc.co.uk/news/business-60642786?at_medium=RSS&at_campaign=KARANGA,Consumers are feeling the impact of higher energy costs as fuel prices and household bills jump.
One dead after Scottish trawler capsizes off Norway,"Mon, 07 Mar 2022 08:59:37 GMT",https://www.bbc.co.uk/news/uk-scotland-60645898,https://www.bbc.co.uk/news/uk-scotland-60645898?at_medium=RSS&at_campaign=KARANGA,Seven crew members were rescued after the Peterhead-registered Njord got into difficulty in the North Sea.
Ukraine: Irish medical student 'blocking out dangers' in Sumy,"Mon, 07 Mar 2022 06:59:12 GMT",https://www.bbc.co.uk/news/world-europe-60638895,https://www.bbc.co.uk/news/world-europe-60638895?at_medium=RSS&at_campaign=KARANGA,A 19-year-old Irish woman is among hundreds of international students taking cover in Sumy.
Northumberland shooting star caught on one-in-million photo,"Mon, 07 Mar 2022 08:44:44 GMT",https://www.bbc.co.uk/news/uk-england-tyne-60644301,https://www.bbc.co.uk/news/uk-england-tyne-60644301?at_medium=RSS&at_campaign=KARANGA,The family were posing for a photo when a shooting star shot through the background.
One dead after Scottish trawler capsizes off Norway,"Mon, 07 Mar 2022 09:26:29 GMT",https://www.bbc.co.uk/news/uk-scotland-60645898,https://www.bbc.co.uk/news/uk-scotland-60645898?at_medium=RSS&at_campaign=KARANGA,Three crew members were airlifted to hospital after the Peterhead-registered Njord got into difficulty.
Ukraine invasion: Military couple marry on the front line,"Sun, 06 Mar 2022 19:00:39 GMT",https://www.bbc.co.uk/news/world-europe-60641868,https://www.bbc.co.uk/news/world-europe-60641868?at_medium=RSS&at_campaign=KARANGA,"Lesya and Valeri, both civil defence volunteers, tied the knot at a check-point near Kyiv."
Ukraine conflict: Oil and gas prices soar as shares plunge,"Mon, 07 Mar 2022 10:10:16 GMT",https://www.bbc.co.uk/news/business-60642786,https://www.bbc.co.uk/news/business-60642786?at_medium=RSS&at_campaign=KARANGA,Investors fear global economic shock as West considers ban on buying Russian energy.
Ukraine war: PM to hold talks with world leaders on further sanctions,"Mon, 07 Mar 2022 09:56:04 GMT",https://www.bbc.co.uk/news/uk-60642926,https://www.bbc.co.uk/news/uk-60642926?at_medium=RSS&at_campaign=KARANGA,"Boris Johnson is to meet the Canadian and Dutch PMs, as the UK's refugee policy comes under scrutiny."
One dead after Scottish trawler capsizes off Norway,"Mon, 07 Mar 2022 09:50:30 GMT",https://www.bbc.co.uk/news/uk-scotland-60645898,https://www.bbc.co.uk/news/uk-scotland-60645898?at_medium=RSS&at_campaign=KARANGA,Three crew members were airlifted to hospital after the Peterhead-registered Njord got into difficulty.
Shane Warne: Australian cricket legend died from natural causes - police,"Mon, 07 Mar 2022 09:57:00 GMT",https://www.bbc.co.uk/news/world-asia-60645939,https://www.bbc.co.uk/news/world-asia-60645939?at_medium=RSS&at_campaign=KARANGA,Thai police say there's no sign of foul play in the cricketer's death while on holiday on Koh Samui.
'Phil Foden sets the tempo' - how Man City 'steamrollered' Man Utd,"Mon, 07 Mar 2022 00:00:05 GMT",https://www.bbc.co.uk/sport/av/football/60642718,https://www.bbc.co.uk/sport/av/football/60642718?at_medium=RSS&at_campaign=KARANGA,Match of the Day 2's Danny Murphy and Troy Deeney analyse how the combination play between Phil Foden and Kevin de Bruyne helped Manchester City beat Manchester United 4-1.
Women's World Cup: Bates stars as New Zealand thrash Bangladesh,"Mon, 07 Mar 2022 06:57:04 GMT",https://www.bbc.co.uk/sport/av/cricket/60644542,https://www.bbc.co.uk/sport/av/cricket/60644542?at_medium=RSS&at_campaign=KARANGA,Suzie Bates hits 79 not out on her home ground to lead New Zealand to a nine-wicket victory over Bangladesh at the Women's World Cup.
Ukraine conflict: Shares slide as oil and gas prices soar,"Mon, 07 Mar 2022 11:32:38 GMT",https://www.bbc.co.uk/news/business-60642786,https://www.bbc.co.uk/news/business-60642786?at_medium=RSS&at_campaign=KARANGA,"Investors fear global economic shock, with rising petrol and energy bills causing more pain for households."
Ukraine war: PM to hold talks with world leaders on further sanctions,"Mon, 07 Mar 2022 11:45:52 GMT",https://www.bbc.co.uk/news/uk-60642926,https://www.bbc.co.uk/news/uk-60642926?at_medium=RSS&at_campaign=KARANGA,"Boris Johnson is to meet the Canadian and Dutch PMs, as the UK's refugee policy comes under scrutiny."
One dead after Scottish trawler capsizes off Norway,"Mon, 07 Mar 2022 11:47:58 GMT",https://www.bbc.co.uk/news/uk-scotland-60645898,https://www.bbc.co.uk/news/uk-scotland-60645898?at_medium=RSS&at_campaign=KARANGA,He was one of three crew members airlifted to hospital after they were found on the keel of the boat.
Shane Warne: Australian cricket legend died from natural causes - police,"Mon, 07 Mar 2022 11:26:47 GMT",https://www.bbc.co.uk/news/world-asia-60645939,https://www.bbc.co.uk/news/world-asia-60645939?at_medium=RSS&at_campaign=KARANGA,Thai police say there's no sign of foul play in the cricketer's death while on holiday on Koh Samui.
Russian gymnast Ivan Kuliak investigated for wearing pro-war symbol on podium next to Ukrainian,"Sun, 06 Mar 2022 20:10:43 GMT",https://www.bbc.co.uk/sport/gymnastics/60641891,https://www.bbc.co.uk/sport/gymnastics/60641891?at_medium=RSS&at_campaign=KARANGA,Russian gymnast Ivan Kuliak is being investigated after wearing a national war symbol on his leotard as he stood next to a Ukrainian rival on the podium in Qatar on Saturday.
A small Ukrainian city becomes a waypoint for thousands on the move,"Mon, 07 Mar 2022 10:53:21 GMT",https://www.bbc.co.uk/news/world-europe-60645126,https://www.bbc.co.uk/news/world-europe-60645126?at_medium=RSS&at_campaign=KARANGA,"At the central train station in Lviv, many thousands arrive after fleeing bombed out cities further east."
How many refugees have fled Ukraine and where are they going?,"Mon, 07 Mar 2022 10:04:55 GMT",https://www.bbc.co.uk/news/world-60555472,https://www.bbc.co.uk/news/world-60555472?at_medium=RSS&at_campaign=KARANGA,The EU says up to four million people may try to escape the war in Ukraine.
Ukraine: Irish medical student 'blocking out dangers' in Sumy,"Mon, 07 Mar 2022 10:30:54 GMT",https://www.bbc.co.uk/news/world-europe-60638895,https://www.bbc.co.uk/news/world-europe-60638895?at_medium=RSS&at_campaign=KARANGA,A 19-year-old Irish woman living in Sumy is making an attempt to leave the city amid Russian attacks.
Ukraine: India doctor stranded with a jaguar and panther,"Mon, 07 Mar 2022 04:48:02 GMT",https://www.bbc.co.uk/news/world-asia-india-60637980,https://www.bbc.co.uk/news/world-asia-india-60637980?at_medium=RSS&at_campaign=KARANGA,"Girikumar Patil, who bought two big cats, said he will not leave home without his pets."
WSL highlights: Arsenal survive scare to beat Birmingham and extend WSL lead,"Sun, 06 Mar 2022 15:28:03 GMT",https://www.bbc.co.uk/sport/av/football/60639547,https://www.bbc.co.uk/sport/av/football/60639547?at_medium=RSS&at_campaign=KARANGA,Vivianne Miedema becomes the first player to reach 100 Women's Super League goal contributions as leaders Arsenal see off a late Birmingham charge to win 4-2 at Meadow Park.
Blue and yellow flowers as Queen meets Trudeau,"Mon, 07 Mar 2022 16:01:05 GMT",https://www.bbc.co.uk/news/uk-60650285,https://www.bbc.co.uk/news/uk-60650285?at_medium=RSS&at_campaign=KARANGA,The Queen returns to in-person meetings with what appears to be a subtle show of support for Ukraine.
Ukraine conflict: Petrol at fresh record as oil and gas prices soar,"Mon, 07 Mar 2022 15:47:46 GMT",https://www.bbc.co.uk/news/business-60642786,https://www.bbc.co.uk/news/business-60642786?at_medium=RSS&at_campaign=KARANGA,"Investors fear a global economic shock, with rising fuel bills causing more pain for households."
Lynda Baron: Open All Hours actress dies aged 82,"Mon, 07 Mar 2022 16:04:18 GMT",https://www.bbc.co.uk/news/entertainment-arts-60647760,https://www.bbc.co.uk/news/entertainment-arts-60647760?at_medium=RSS&at_campaign=KARANGA,The actress played Nurse Gladys Emmanuel opposite Ronnie Barker and Sir David Jason in the sitcom.
Ed Sheeran denies Shape of You copyright claim at High Court trial,"Mon, 07 Mar 2022 13:41:32 GMT",https://www.bbc.co.uk/news/entertainment-arts-60648263,https://www.bbc.co.uk/news/entertainment-arts-60648263?at_medium=RSS&at_campaign=KARANGA,The pop singer is accused by two songwriters of copying parts of his 2017 hit Shape Of You.
Dizzee Rascal: Grime artist guilty of assaulting former partner,"Mon, 07 Mar 2022 16:18:45 GMT",https://www.bbc.co.uk/news/uk-england-london-60653545,https://www.bbc.co.uk/news/uk-england-london-60653545?at_medium=RSS&at_campaign=KARANGA,The grime artist was found guilty of assaulting his former partner in London last year.
Ukraine war: PM holds talks with Canadian and Dutch PMs over more sanctions,"Mon, 07 Mar 2022 15:49:31 GMT",https://www.bbc.co.uk/news/uk-60642926,https://www.bbc.co.uk/news/uk-60642926?at_medium=RSS&at_campaign=KARANGA,"Boris Johnson calls for more support for Ukraine, amid scrutiny of the UK's refugee policy."
